date,campaign_id,campaign_name,target,match_type,targeting_type,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,close-match,-,unknown,376,1,12.65,0,0.0,0.0026595744680851063,12.65,0.0,,0.0,True
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,loose-match,-,unknown,584,2,12.585,0,0.0,0.003424657534246575,6.2925,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,arthritis oil,phrase,unknown,3,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,arthritis pain relief oil,phrase,unknown,255,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,back pain oil,phrase,unknown,44,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,back pain relief oil,phrase,unknown,52,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,back pain relief products,phrase,unknown,7,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,joint pain oil ayurvedic,phrase,unknown,1,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,joint pain relief,phrase,unknown,326,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,knee oil,phrase,unknown,5,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,knee oil for pain,exact,unknown,40,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,knee pain oil,exact,unknown,14,1,31.35,0,0.0,0.07142857142857142,31.35,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,knee pain relief oil,phrase,unknown,130,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,muscle pain,phrase,unknown,7,0,0.0,0,0.0,0.0,,,,,False
