date,campaign_id,campaign_name,asin,sku,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WL1CXC,,24,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WN6V3G,,125,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07B7NSLLP,,771,3,12.606666666666667,0,0.0,0.0038910505836575876,4.202222222222223,0.0,,0.0,True
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07NPHGG79,,40,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,B079WN6V3G,,1533,3,34.989999999999995,0,0.0,0.0019569471624266144,11.663333333333332,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,B07B7NSLLP,,1336,3,37.656666666666666,0,0.0,0.002245508982035928,12.552222222222222,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,B07B7NSLLP,,782,13,15.513846153846156,3,961.62,0.016624040920716114,1.193372781065089,0.23076923076923078,0.01613303191889328,61.98462911543037,False
2020-02-01,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,B07PYFJ8NQ,,3893,18,14.217777777777778,0,0.0,0.0046236835345491905,0.7898765432098765,0.0,,0.0,True
2020-02-02,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WL1CXC,,195,0,0.0,0,0.0,0.0,,,,,False
2020-02-02,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WN6V3G,,733,1,12.76,0,0.0,0.001364256480218281,12.76,0.0,,0.0,True
2020-02-02,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07B7NSLLP,,605,0,0.0,0,0.0,0.0,,,,,False
2020-02-02,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07NPHGG79,,41,0,0.0,0,0.0,0.0,,,,,False
2020-02-02,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,B079WN6V3G,,1104,7,28.321428571428573,0,0.0,0.006340579710144928,4.045918367346939,0.0,,0.0,True
2020-02-02,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,B07B7NSLLP,,1588,10,36.41,2,641.08,0.006297229219143577,3.6409999999999996,0.2,0.056794783802333555,17.607250755287012,False
2020-02-02,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,B07B7NSLLP,,743,9,4.984444444444445,2,1282.16,0.012113055181695828,0.5538271604938272,0.2222222222222222,0.0038875370035287675,257.23227819884085,False
2020-02-02,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,B07PYFJ8NQ,,5546,30,17.324,4,1940.7,0.005409304002884962,0.5774666666666667,0.13333333333333333,0.008926675941670532,112.02378203648118,False
2020-02-03,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WL1CXC,,57,0,0.0,0,0.0,0.0,,,,,False
2020-02-03,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WN6V3G,,487,1,3.47,0,0.0,0.002053388090349076,3.47,0.0,,0.0,True
2020-02-03,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07B7NSLLP,,1335,4,11.2975,0,0.0,0.00299625468164794,2.824375,0.0,,0.0,True
2020-02-03,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07NPHGG79,,52,1,12.38,0,0.0,0.019230769230769232,12.38,0.0,,0.0,True
2020-02-03,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,B079WN6V3G,,1008,1,43.27,0,0.0,0.000992063492063492,43.27,0.0,,0.0,True
2020-02-03,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,B07B7NSLLP,,1474,4,21.4775,0,0.0,0.0027137042062415195,5.369375,0.0,,0.0,True
2020-02-03,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,B07B7NSLLP,,759,17,3.168823529411765,3,1226.8,0.022397891963109356,0.186401384083045,0.17647058823529413,0.002582999290358465,387.14683497308334,False
2020-02-03,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,B07PYFJ8NQ,,6453,12,19.210000000000004,2,776.28,0.0018596001859600185,1.6008333333333338,0.16666666666666666,0.024746225588705113,40.41020301926079,False
2020-02-04,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WL1CXC,,33,0,0.0,0,0.0,0.0,,,,,False
2020-02-04,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B079WN6V3G,,87,0,0.0,0,0.0,0.0,,,,,False
2020-02-04,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07B7NSLLP,,1183,0,0.0,0,0.0,0.0,,,,,False
2020-02-04,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,B07NPHGG79,,9,0,0.0,0,0.0,0.0,,,,,False
