date,campaign_id,campaign_name,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag,spend_share_daily,sales_share_daily,share_gap_daily,spend_share_total,sales_share_total,share_gap_total,cost_d1,cost_d7,cost_z,cost_spike,sales_d1,sales_d7,sales_z,sales_spike,roas_d1,roas_d7,roas_z,roas_spike,acos_d1,acos_d7,acos_z,acos_spike
2020-02-21,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,187,0,0.0,0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,,,,False,,,,False,,,,False
2020-02-22,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,244,0,0.0,0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0.0,,,False,,,,False,,,,False
2020-02-23,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,437,0,0.0,0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0.0,,,False,,,,False,,,,False
2020-02-24,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,271,0,0.0,0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,,False,,,,False,,,,False
2020-02-25,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,478,0,0.0,0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,,False,,,,False,,,,False
2020-02-26,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,160,0,0.0,0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,,False,,,,False,,,,False
2020-02-27,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,473,0,0.0,0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,,False,,,,False,,,,False
2020-02-28,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,257,2,2.17,2,532.2,0.007782101167315175,1.085,1.0,0.004077414505824877,245.25345622119818,False,0.0009833643750198258,0.06375133863436536,-0.06276797425934554,4.606424539973151e-05,0.0074820950597225,-0.007436030814322769,2.17,2.17,2.6457513110645907,True,532.2,532.2,2.6457513110645907,True,,,,False,,,,False
2020-02-29,Face Wash || SP || Auto || 21st Feb'20,Face Wash || SP || Auto || 21st Feb'20,378,1,25.6,0,0.0,0.0026455026455026454,25.6,0.0,,0.0,True,0.009726480723710958,0.0,0.009726480723710958,0.0005434307291396898,0.0,0.0005434307291396898,23.43,25.290000000000003,2.818264126018402,True,-532.2,-76.02857142857144,-0.3535533905932738,False,-245.25345622119818,,,False,,,,False
2020-02-21,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,11193,14,835.53,0,0.0,0.0012507817385866166,59.68071428571428,0.0,,0.0,True,0.23731860903056484,0.0,0.23731860903056484,0.017736432699925194,0.0,0.017736432699925194,,,,False,,,,False,,,,False,,,,False
2020-02-22,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,11542,17,1143.01,1,311.61,0.0014728816496274476,67.23588235294118,0.058823529411764705,3.6680786881037193,0.27262228676914463,False,0.25231618937455713,0.09491478960113309,0.15740139977342404,0.024263545223201437,0.004380863663209561,0.01988268155999188,307.48,,,False,311.61,,,False,0.27262228676914463,,,False,,,,False
