date,impressions,clicks,cost,orders,sales,cost_spike,sales_spike,roas_spike,acos_spike
2025-11-08,3,1,1.34,0,0.0,False,False,False,False
2025-11-09,2,1,1.4,0,0.0,False,False,False,False
2025-11-11,2,1,1.37,0,0.0,False,False,False,False
2025-11-18,9,1,1.95,0,0.0,False,False,False,False
2025-11-20,2,1,1.29,0,0.0,False,False,False,False
2025-11-23,5,2,3.38,0,0.0,False,False,False,False
2025-11-28,2,1,1.25,0,0.0,False,False,False,False
2025-12-01,1,1,1.89,0,0.0,False,False,False,False
2025-12-02,2,1,1.71,0,0.0,False,False,False,False
2025-12-03,4,1,1.1,0,0.0,False,False,False,False
2025-12-06,1,1,1.5,0,0.0,False,False,False,False
2025-12-07,1,1,1.2,0,0.0,False,False,False,False
2025-12-11,2,2,1.28,0,0.0,False,False,False,False
2025-12-13,4,1,1.48,0,0.0,False,False,False,False
2025-12-15,1,1,1.4,0,0.0,False,False,False,False
2025-12-17,1,1,1.45,0,0.0,False,False,False,False
2025-12-28,1,1,1.39,0,0.0,False,False,False,False
2025-12-29,7,1,0.96,0,0.0,False,False,False,False
2025-12-30,1,1,1.37,0,0.0,False,False,False,False
2026-01-06,1,1,0.98,0,0.0,False,False,False,False
