report_id,file_name,company_name_english,company_name_original,year_of_report,industry_sector,main_business_summary,ownership_type,size_proxy,reporting_standard_mentions,ESG_structure_present,quantitative_data_richness,overall_text_quality,notes
CN001,Alibaba 2024.pdf,Alibaba,not stated,2024,Technology & Internet,"Contents 002 Appendices 169-198 003 004 005 Our mission, our vision A letter from our CEO Instructions Business Overview Executive Summary 006 Developing responsible technologies 01 090-095 Providing markets, business capabilities, and ecosystems for MSMEs 02 096-105 Building corporate trust 01 145-156 Building social trust 02 157-168 Fueling Small Businesses Building Trust Solidly promoting carbon neutrality 01 026-041 Conserving and restoring nature 02 042-050 Restoring Our Green Planet Rural revitalization 01 109-116 Social emergency response 02 117-120 Leveraging technologies to tackle social problems 03 121-122 Enabling inclusive employment 04 123-129 Enhancing Community Inclusion and Resilience Promoting diversity, equity, and inclusion 01 054-057 Attracting and retaining talents 02 058-062 Enhancing employee health and vitality 03 063-066 Supporting Our People Encouraging employees to participate in philanthropy 01 133-136 Platforms driving philanthropy 02 137-138 Collaborations making an impact 03 139-141 Facilitating Participatory Philanthropy Diverse consumption 01 070-072 Trustworthy consumption 02 073-079 Inclusive consumption 03 080-083 Responsible consumption 04 084-086 Enabling a Sustainable Digital Life 2 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustainable Digital Life Fueling Small Businesses Enhancing Community Inclusion and Resilience Facilitating Participatory Philanthropy Building Trust Appendices Our mission To make it easy to do business anywhere.",not stated,"62,000 employees (p13)",not stated,yes,3,3,
CN002,ANT Group 2024.pdf,ANT Group,not stated,2024,Technology & Internet,"In healthcare, every aspect of the user experience is streamlined, from appointments to insurance claims. At the dawn of the age of AI, we are empowered to do more and better for small businesses and individuals."" The vitality of the economy, we believe, is anchored in the success of small businesses.",state-owned,"35,000 employees (p7)",not stated,yes,3,3,
CN003,ANTA Sports Products Ltd 2024.pdf,ANTA Sports Products Ltd,not stated,2024,Transportation & Logistics,"The mission of the companyd is to integrate the sports spirit of “Going Beyond Oneself” into everyone’s daily life. ANTA Sports is also the largest shareholder of Amer Sports, Inc., a global group of iconic sports and outdoor brands, including Arc’teryx, Salomon, Wilson, Peak Performance, and Atomic, whose shares are listed on the New York Stock Exchange (NYSE: AS).",not stated,"65,900 
employees (p7)",not stated,yes,3,3,
CN004,AUO 2024.pdf,AUO,not stated,2024,Manufacturing & Electronics,"These will serve to transform AUO into a solutions provider centered on display technology. In the future, the goal to develop with the frame of 3 Pillars (Display, Mobility Solution, Vertical Solution) is to make us transform from a company specializing in panel-based display components to a ""solutions provider centered on display technology"".",not stated,"41,000 employees (p2)",SDGs,yes,3,3,
CN005,Baidu 2024.pdf,Baidu,not stated,2024,Technology & Internet,"Baidu 2024 Environmental, Social and Governance (ESG) Report Contents Appendix Stakeholder Engagement HKEX ESG Index GRI Content Index SASB Standards Contributions to UN SDGs Greenhouse Gases Verification Opinion ESG Report Verification Statement Reader Feedback Form 101 101 102 104 107 108 110 111 112 About This Report Message from the CEO About Baidu ESG Management Overview of ESG Performance 01 02 03 05 09 Board Governance Risk Governance Tax Transparency Business Ethics Supply Chain Management AI Ethics Human Rights Due Diligence 12 13 16 16 21 23 26 Data Security and Cybersecurity Privacy and Personal Information Protection Content Governance Service Assurance 30 37 40 48 Talent Structure Talent Acquisition and Retention Talent Training and Development Employee Rights, Diversity, and Inclusion 53 54 63 68 Climate Action Green Operations Green Products and Services 73 80 89 01 Corporate Governance 02 User Trust and Service Excellence 03 People and Talent 04 Environmental Stewardship 05 Community Engagement AI Talent Community Leveraging AI to Enhance Societal Well-Being Philanthropy and Charitable Initiatives 92 95 99 Baidu 2024 Environmental, Social and Governance (ESG) Report 01 About This Report Reporting Period Availability of this Report Forward-looking Statement Basis of Preparation This report is the sixth Environmental, Social and Governance (ESG) Report released by Baidu and provides a comprehensive overview of the company's ESG performance. This report is an annual report covering work of the financial year from January 1, 2024 to December 31, 2024 ('reporting period').",not stated,"93,000 employees (p21)",GRI; SASB; ISSB; UNGC; SDGs,yes,3,3,
CN006,Bank of China 2024.pdf,Bank of China,not stated,2024,Financial Services,"Corporate Social Responsibility Report Governance Social Environmental Bank of China Limited The Yellow River Basin is a vital cradle of the Chinese national and civilisation, where sediment management plays a key role in maintaining ecological security. Safeguarding the Stability of the Yellow River and Preserving Its Cultural Legacy 02 04 06 Embarking on a Path of Green Development to Contribute to the Building of a Beautiful China Adapting to the Evolving Conditions to Reinforce the Foundation for Sustainable Development 12 15 36 44 Environmental Chapter 94 98 102 104 106 Governance Chapter 48 64 72 80 86 Social Chapter 108 121 123 124 125 131 Governance Serving High-quality Development of the Chinese Economy Keeping Ensuring and Improving People's Well-being Practising the Customer-First Service Philosophy Unlocking the Potential of Human Resources Leveraging Financial Strength for Social Good Playing the Leading Role of Party Building Enhancing the Effectiveness of Corporate Governance Intensifying Efforts to Promote Digital Finance Pressing Ahead with Comprehensive Risk Management Strictly Upholding the Internal Control and Compliance Bottom Line Strategies Risk Management Metrics and Targets Striving with Dedication to Serve the Overall Economic and Social Development Message from the Chairman ESG Key Performance Responsibility Management Commitment and Progress About the Report Assurance Statement Indexes About BOC Message from the President Management Measures Highlighted Cases 03 02 Message from the Chairman Upholding the ""humanistic"" concept to address the public's aspirations for a better life.",state-owned,not stated,GRI,yes,3,3,
CN007,BYD 2024.pdf,BYD,not stated,2024,Renewables & Clean Tech,"0 2024 BYD Sustainability Report GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSINESS DEVELOPMENT GREEN FUTURE NAVIGATED BY TECHNOLOGY A LEGACY OF CRAFTSMANSHIP FOR QUALITY EXCELLENCE A TALENT POOL FOR INTELLIGENCE-DRIVEN DEVELOPMENT A RESPONSIBLE SUPPLY CHAIN FOR MUTUAL GROWTH TECH FOR GOOD TO ENSURE A BETTER FUTURE APPENDIX ASSURANCE STATEMENT INTRODUCTION 2024 Sustainability Report 1 2024 BYD Sustainability Report GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSINESS DEVELOPMENT GREEN FUTURE NAVIGATED BY TECHNOLOGY A LEGACY OF CRAFTSMANSHIP FOR QUALITY EXCELLENCE A TALENT POOL FOR INTELLIGENCE-DRIVEN DEVELOPMENT A RESPONSIBLE SUPPLY CHAIN FOR MUTUAL GROWTH TECH FOR GOOD TO ENSURE A BETTER FUTURE APPENDIX ASSURANCE STATEMENT INTRODUCTION 123 151 40 41 46 53 65 66 73 80 82 114 115 121 90 91 92 95 98 100 104 108 109 111 113 02 04 05 06 11 16 22 30 31 33 37 39 INTRODUCTION GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSINESS DEVELOPMENT GREEN FUTURE NAVIGATED BY TECHNOLOGY A LEGACY OF CRAFTSMANSHIP FOR QUALITY EXCELLENCE A TALENT POOL FOR INTELLIGENCE- DRIVEN DEVELOPMENT A RESPONSIBLE SUPPLY CHAIN FOR MUTUAL GROWTH TECH FOR GOOD TO ENSURE A BETTER FUTURE APPENDIX ASSURANCE STATEMENT About This Report Message from the Chairman About Us Special Section: The Soul of Engineers Sustainability Strategy Sustainability Management Corporate Governance Compliance Operation Information Security Protection of Shareholders’ Interests Response to Climate Change Green Products and Technologies Green Operation Technological Innovation Product Responsibility Responsible Marketing Customer Interests and Services Employee Rights Employment Talent Training and Development Compensation and Benefits Employee Care Occupational Health and Safety in Production Supply Chain Management Responsible Supply Chain Supply Chain Integrity Community Impact Social Welfare CONTENTS Message from the CSO 2 2024 BYD Sustainability Report GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSINESS DEVELOPMENT GREEN FUTURE NAVIGATED BY TECHNOLOGY A LEGACY OF CRAFTSMANSHIP FOR QUALITY EXCELLENCE A TALENT POOL FOR INTELLIGENCE-DRIVEN DEVELOPMENT A RESPONSIBLE SUPPLY CHAIN FOR MUTUAL GROWTH TECH FOR GOOD TO ENSURE A BETTER FUTURE APPENDIX ASSURANCE STATEMENT INTRODUCTION 2 About This Report This report is the Sustainability Report of BYD Company Limited (hereinafter “BYD” or “the Company”) and its subsidiaries (hereinafter “the Group”, “Group” or “we”) for the year 2024. Scope of Report This is an annual report covering the period from 1 January 2024 through 31 December 2024 (hereinafter “the reporting period”).",not stated,"12,000 employees (p19)",GRI; SDGs,yes,3,3,
CN008,CATL 2024.pdf,CATL,not stated,2024,Renewables & Clean Tech,"Environmental, Social and Governance (ESG) Report 01 02 Sustainable Development Governance Overview of CATL Operation Governance Environment Society Contemporary Amperex Technology Co., Limited 2024 Environmental, Social and Governance (ESG) Report CONTENTS Report Preparation Instructions 03 Message from the Leader 05 ESG Data Sheet and Notes 121 Benchmarking Index 131 Appendix 146 Assurance Statement 159 Business Scope Global Landscape CATL’s Strategies Overview of CATL Sustainable Development Philosophy Sustainability Management Structure Assessment and Management of Material Topics Communication with Stakeholders Sustainable Development Governance 🔹R&D Innovation 🔹Intelligent Manufacturing and Lean Management 🔹Product Quality and Safety 🔹Supply Chain Management 🔹Customer Relationship Management 🔹Intellectual Property Protection Fair Competition Corporate Governance Investor Protection 🔹Risk Management and Internal Control Anti-bribery and Anti-corruption Information Security and Privacy Protection Operation Governance 01 02 🔹Climate Actions 🔹Circular Economy Energy Utilization Water Resource Utilization Environmental Compliance Management Emissions and Waste Management Ecosystem and Biodiversity Conservation Environment 03 Employees’ Rights and Benefits Equity and Diversity 🔹Talent Training and Development 🔹Occupational Health and Safety Industrial Cooperation and Development Charity and Volunteer Services Community Communication and Development Rural Revitalization 101 103 106 110 114 116 117 119 31 37 39 43 47 51 52 55 57 59 62 66 09 11 13 15 18 19 27 71 85 87 89 90 92 96 Society04 07 15 03 04 Sustainable Development Governance Overview of CATL Operation Governance Environment Society Contemporary Amperex Technology Co., Limited 2024 Environmental, Social and Governance (ESG) Report Report Preparation Instructions This is the fourth Environmental, Social, and Governance (ESG) Report released by CATL, presenting stakeholders with the Company’s principles, approaches, initiatives, and progress in sustainability. The scope of this report is consistent with the that of the Consolidated Financial Statements of CATL (stock code: 300750.SZ).",not stated,"40,000 employees (p22)",GRI; SDGs,yes,3,3,
CN009,CCB 2024.pdf,CCB,not stated,2024,Financial Services,"111 ESG Data Sheet and Notes...................................................................................................................................112 Social Recognition....................................................................................................................................................117 Independent Assurance Report.........................................................................................................................119 Third-Party Statement on Greenhouse Gas Emissions...........................................................................138 Index................................................................................................................................................................................139 China Construction Bank Corporation 2024 Sustainability Report 2 Corporate Introduction China Construction Bank Corporation, headquartered in Beijing, is a leading large-scale commercial bank in China. The Bank provides customers with comprehensive financial services, including corporate finance business, personal finance business, treasury and asset management business and others, serving 771 million personal customers and 11.68 million corporate customers.",state-owned,not stated,not stated,yes,3,3,
CN010,Chery Auto 2024.pdf,Chery Auto,not stated,2024,Automotive,"2024 Chery Auto Environmental, Social and Governance Report 2 About This Report Message from the Chairman 01 02 Responsible Development Corporate Governance Sustainability Management Stable Operations 09 11 17 Quality First Excellent Quality Mobility Safety Responsible Supply Chain Responsible Marketing and Dealers Management 44 51 57 66 Humanistic Care Happy Chery Force for Good 95 106 Intelligent Innovation Technology Strategy Innovation Achievements Lean R&D Industry Development 31 33 39 42 Green Commitment Climate Change and Low-Carbon Transition Environment and Resource Management Biodiversity Protection 69 82 91 Appendix ESG Key Performance Indicators HKEX ESG Reporting Code Index GRI Content Index Independent Assurance Statement 109 119 122 126 Contents About Chery Auto 03 About Chery Auto Milestones in 2024 Sustainability Highlights in 2024 03 04 05 About This Report Report Overview The 2024 Environmental, Social and Governance Report of Chery Auto (hereinafter referred to as “this Report”) is the second Environmental, Social and Governance (ESG) report issued by Chery Automobile Co., Ltd. Accordingly, this ESG Report has not been prepared in accordance with the ESG Reporting Guide set out in Appendix C2 to the Rules Governing the Listing of Securities on The Stock Exchange of Hong Kong Limited (the “Listing Rules”), nor is it subject to the mandatory disclosure requirements under the Listing Rules.",not stated,"60,000 employees (p27)",GRI; SDGs,yes,3,3,
