report_id,company,actor_name,actor_type,theme_tag,evidence_page_numbers
CN001,Alibaba,Alibaba Foundation,NGO,training_education,17
CN002,ANT Group,China Foundation,NGO,diversity_inclusion,35
CN002,ANT Group,Development Foundation,NGO,diversity_inclusion,35
CN002,ANT Group,Ministry of Agriculture and Rural A,Government,innovation_green_tech,38
CN002,ANT Group,People's Government of Ping,Government,innovation_green_tech,39
CN002,ANT Group,Ant Group partnered with Peking University,Academic,innovation_green_tech,45
CN003,ANTA Sports Products Ltd,Hemin Foundation,NGO,partnerships_general,32
CN006,Bank of China,Ministry of Education of China,Government,training_education,3
CN006,Bank of China,Palace Museum and the Sina Yangfan Charity Foundation of the China Siyuan Foundation,NGO,training_education,47
CN008,CATL,Ministry of Education,Government,training_education,59
CN010,Chery Auto,UN Global Compact Shortlisted in,NGO,ESG_governance,6
CN014,China Shenhua Energy,Ministry of Ecology and Environment,Government,emissions_reduction,46
CN014,China Shenhua Energy,Ministry of Ecology and Environment,Government,biodiversity_ecosystems,55
CN015,China State Construction,Tsinghua University,Academic,renewable_energy,38
CN015,China State Construction,Tsinghua University,Academic,training_education,75
CN017,able Development of CHINT Materiality Assessment Corporate ESG Governance Arrangements 01 02 03 05 13 17 CHINT 01 CHINT,UN Global Compact organization held the launching ceremony of the,NGO,community_development,10
CN017,able Development of CHINT Materiality Assessment Corporate ESG Governance Arrangements 01 02 03 05 13 17 CHINT 01 CHINT,UNOATION OF C,NGO,training_education,74
CN017,able Development of CHINT Materiality Assessment Corporate ESG Governance Arrangements 01 02 03 05 13 17 CHINT 01 CHINT,UNGC,NGO,diversity_inclusion,12
CN017,able Development of CHINT Materiality Assessment Corporate ESG Governance Arrangements 01 02 03 05 13 17 CHINT 01 CHINT,UNGC,NGO,ESG_governance,13
CN020,CNGR,UN Convention on Biological Diversity,NGO,biodiversity_ecosystems,65
CN020,CNGR,UN Convention to Combat Desertification,NGO,biodiversity_ecosystems,65
CN020,CNGR,CNGR Partners with the School of Law at Guizhou University,Academic,biodiversity_ecosystems,69
CN020,CNGR,CNGR and the School of Law at Guizhou University,Academic,biodiversity_ecosystems,69
CN022,CRRC,National Natural Science Foundation,NGO,innovation_green_tech,37
CN024,ENN Natural Gas Co,Laying the Foundation,NGO,emissions_reduction,13
CN024,ENN Natural Gas Co,Laying the Foundation,NGO,emissions_reduction,19
CN024,ENN Natural Gas Co,Laying the Foundation,NGO,emissions_reduction,20
CN024,ENN Natural Gas Co,UN Global Compact Principles The UN Global Compact is a strategic policy initiativ,NGO,labor_rights,63
CN025,1 ESQUEL,Beijing Zhongyi Art Foundation,NGO,training_education,48
CN025,1 ESQUEL,Xinjiang Dilinar Cultural and Art Exchange Development Foundation,NGO,training_education,48
CN025,1 ESQUEL,YL Yang Foundation,NGO,training_education,49
CN026,rds Index 183 ESG Reporting Guide Index 189 Readers Feedback Form 192 Assurance Statement 193 About This Report 003 004,UN Global Compact in August,NGO,SDG_alignment,50
